                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.748,                 5.0842,                 2.1961,                0.40652,                0.42956,                0.37255,                0.21376,                 3.4489,                 4.2805,                 2.4066,               0.003329,               0.003329,               0.003329
                      2,                 2.5961,                 3.0932,                 2.0968,                 0.4087,                0.44786,                0.39449,                0.24896,                 3.3178,                 3.8877,                 2.3644,              0.0065964,              0.0065964,              0.0065964
                      3,                 2.7357,                  3.278,                 2.1566,                0.42367,                0.31458,                0.30536,                0.17437,                 3.5289,                 4.5214,                 2.5021,              0.0097978,              0.0097978,              0.0097978
                      4,                 2.7758,                  3.346,                 2.1896,                0.45045,                0.34349,                 0.3442,                 0.1992,                 3.3784,                  3.995,                 2.4418,               0.009703,               0.009703,               0.009703
                      5,                 2.6037,                 2.9791,                 2.1312,                0.43744,                0.43132,                0.39537,                0.23515,                 3.2523,                 3.5276,                 2.3795,               0.009604,               0.009604,               0.009604
                      6,                 2.5063,                 2.7961,                  2.095,                0.45078,                0.49703,                0.42119,                0.26399,                 3.0916,                 3.3841,                 2.3228,               0.009505,               0.009505,               0.009505
                      7,                 2.4519,                 2.6608,                 2.0753,                0.51608,                0.51778,                0.48385,                0.32254,                 3.0891,                 3.3118,                  2.298,               0.009406,               0.009406,               0.009406
                      8,                 2.3801,                 2.5375,                 2.0527,                0.50185,                 0.5364,                0.53571,                 0.3488,                 3.0175,                 2.9339,                 2.2633,               0.009307,               0.009307,               0.009307
                      9,                 2.3536,                 2.4589,                 2.0411,                0.52018,                0.54923,                 0.5437,                0.35182,                 3.0069,                 3.0131,                 2.2631,               0.009208,               0.009208,               0.009208
                     10,                 2.2965,                 2.3651,                 2.0218,                0.52819,                0.54787,                0.54197,                0.36596,                 2.9949,                 2.9142,                 2.2499,               0.009109,               0.009109,               0.009109
                     11,                 2.2573,                 2.2966,                 2.0066,                0.52415,                0.54145,                0.56218,                0.38092,                 2.9404,                  2.808,                 2.2334,                0.00901,                0.00901,                0.00901
                     12,                 2.2553,                  2.259,                 1.9984,                0.54655,                0.54634,                0.54926,                0.36698,                 2.9087,                 2.8158,                 2.2191,               0.008911,               0.008911,               0.008911
                     13,                 2.2221,                 2.2012,                 1.9967,                0.62621,                0.55175,                 0.5717,                0.38322,                 2.9313,                 2.7752,                 2.2262,               0.008812,               0.008812,               0.008812
                     14,                 2.2027,                 2.1552,                 1.9803,                0.51447,                0.59144,                0.58001,                0.38162,                 2.9245,                 2.7556,                 2.2303,               0.008713,               0.008713,               0.008713
                     15,                 2.1846,                  2.122,                 1.9765,                0.57997,                0.60353,                 0.5949,                0.40607,                 2.8512,                 2.6764,                  2.199,               0.008614,               0.008614,               0.008614
                     16,                 2.1639,                 2.0828,                 1.9652,                0.60852,                0.59083,                0.59423,                0.40233,                 2.8461,                 2.6631,                 2.1891,               0.008515,               0.008515,               0.008515
                     17,                 2.1466,                 2.0444,                 1.9613,                0.61289,                0.57934,                0.60617,                0.41229,                 2.8334,                 2.6362,                 2.1837,               0.008416,               0.008416,               0.008416
                     18,                 2.1251,                 2.0164,                 1.9621,                 0.5787,                0.60381,                0.60923,                0.40829,                 2.8546,                 2.5482,                 2.1967,               0.008317,               0.008317,               0.008317
