                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8905,                 3.1976,                 2.3665,                0.90567,                0.71673,                 0.8046,                0.50144,                 3.1453,                 1.5741,                 2.3077,              0.0033113,              0.0033113,              0.0033113
                      2,                 3.1804,                 1.5442,                 2.1206,                0.92224,                0.77984,                0.86713,                0.57421,                 2.9325,                 1.3974,                 2.2265,              0.0066007,              0.0066007,              0.0066007
                      3,                 2.9557,                 1.3923,                  2.031,                0.93781,                0.80936,                 0.8954,                0.60891,                 2.7953,                 1.2889,                  2.201,              0.0098462,              0.0098462,              0.0098462
                      4,                 2.7901,                 1.2614,                 1.9652,                0.94313,                0.83144,                0.91105,                0.63726,                 2.7465,                 1.2645,                 2.2142,               0.009802,               0.009802,               0.009802
                      5,                 2.6083,                 1.1717,                 1.9301,                 0.9413,                0.84097,                0.91615,                0.65186,                 2.7127,                  1.346,                 2.2209,               0.009736,               0.009736,               0.009736
                      6,                 2.5375,                 1.1117,                 1.8938,                0.94236,                 0.8487,                0.92201,                0.66519,                 2.6508,                 1.3656,                  2.215,                0.00967,                0.00967,                0.00967
                      7,                 2.4453,                 1.0622,                 1.8669,                0.94089,                0.85376,                0.92521,                0.67101,                 2.6374,                 1.3851,                 2.2308,               0.009604,               0.009604,               0.009604
                      8,                 2.3739,                 1.0318,                 1.8499,                0.94834,                0.85391,                0.92812,                0.67638,                 2.6122,                 1.3549,                 2.1873,               0.009538,               0.009538,               0.009538
                      9,                 2.3402,                 1.0068,                 1.8273,                0.94683,                0.86201,                0.93156,                0.68288,                 2.5861,                 1.4451,                 2.1822,               0.009472,               0.009472,               0.009472
                     10,                  2.266,                0.96693,                 1.8142,                0.95238,                0.86069,                 0.9343,                0.69078,                 2.5574,                 1.2716,                 2.1718,               0.009406,               0.009406,               0.009406
                     11,                 2.2246,                0.94978,                 1.8049,                0.94485,                0.86547,                0.93504,                0.69073,                 2.5353,                 1.3098,                 2.1667,                0.00934,                0.00934,                0.00934
