                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3889,                 2.4615,                    2.2,                0.92366,                0.80238,                0.87941,                0.58947,                 2.8667,                 1.5717,                 2.2638,                  0.002,                  0.002,                  0.002
                      2,                 2.7965,                 1.3375,                 1.9885,                0.93694,                0.81736,                0.90286,                0.63444,                 2.8045,                 1.4156,                 2.2792,              0.0019802,              0.0019802,              0.0019802
                      3,                 2.6499,                 1.2172,                 1.9314,                0.93846,                0.84333,                0.91473,                0.64836,                  2.747,                  1.398,                 2.2628,              0.0019604,              0.0019604,              0.0019604
                      4,                 2.4974,                 1.1179,                 1.8874,                0.94771,                0.85442,                0.92634,                0.67391,                 2.6903,                 1.4039,                 2.2416,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.4246,                 1.0796,                  1.873,                0.95105,                 0.8615,                0.93024,                0.68082,                 2.6344,                 1.5382,                 2.2747,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.3489,                 1.0293,                 1.8478,                0.94969,                0.86409,                0.93495,                0.69136,                 2.6347,                   1.32,                 2.2328,               0.001901,               0.001901,               0.001901
                      7,                 2.3022,                 1.0059,                 1.8302,                0.95082,                0.87011,                0.93449,                0.68962,                 2.6695,                 1.2984,                 2.2774,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2197,                0.96318,                 1.8142,                0.95355,                0.87178,                0.93889,                0.70026,                 2.5714,                 1.3233,                 2.2294,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1921,                0.94563,                  1.799,                0.95278,                0.86641,                0.93892,                0.70887,                 2.5749,                 1.3695,                 2.2338,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.1521,                0.92422,                 1.7879,                0.94971,                0.87021,                0.93757,                0.70641,                 2.6037,                 1.3728,                  2.307,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.1208,                0.90554,                 1.7856,                0.95265,                0.87993,                0.94354,                0.71149,                 2.4795,                 1.2741,                 2.1871,               0.001802,               0.001802,               0.001802
                     12,                 2.0868,                0.89901,                 1.7742,                0.95325,                0.87634,                 0.9424,                0.71128,                 2.5233,                 1.3562,                 2.2258,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0572,                0.87651,                 1.7659,                0.95318,                 0.8831,                0.94717,                 0.7182,                 2.5534,                 1.3658,                 2.2377,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.0159,                0.85589,                 1.7602,                 0.9533,                0.88972,                0.94664,                0.71687,                 2.4991,                 1.2285,                 2.2214,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.9902,                0.84014,                 1.7582,                 0.9614,                0.88413,                0.94861,                0.72784,                 2.5037,                 1.4259,                 2.2197,              0.0017228,              0.0017228,              0.0017228
