fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.82223,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.82139,0.01029,0.0105,0.92693,0.00055,3.33867,0.8,8.18389,0.5,1.46822,0.01492,0.65189,0.40234,0.0,0.1,0.48075,0.0,0.0,0.0,0.51439,0.0,1.0,0.0,0.0
0.81517,0.01132,0.01032,0.937,0.0004,2.65948,0.91902,8.00538,0.5,1.82367,0.015,0.7,0.4,0.0,0.08739,0.63697,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.82006,0.00935,0.01143,0.95811,0.00058,2.02721,0.75364,7.59882,0.40948,2.04268,0.0155,0.6625,0.32541,0.0,0.10586,0.44622,0.0,0.0,0.0,0.56268,0.0,1.0,0.0,0.0
0.81283,0.00831,0.01085,0.96503,0.0005,2.91909,0.62756,8.3079,0.63819,1.4858,0.00978,0.74555,0.48439,0.0,0.09678,0.5,0.0,0.0,0.0,0.60758,0.0,0.66419,0.0,0.0
0.81843,0.01,0.01,0.9601,0.00055,2.52791,0.79167,6.81749,0.49151,1.6068,0.01201,0.75635,0.37772,0.0,0.08048,0.49399,0.0,0.0,0.0,0.53731,0.0,0.79668,0.0,0.0
0.82465,0.00989,0.0113,0.90525,0.0004,3.08871,0.84583,7.17471,0.5,1.5447,0.01371,0.7,0.42586,0.0,0.10434,0.4477,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.82271,0.01149,0.0074,0.89953,0.0005,3.31943,0.8,6.24661,0.5,1.35384,0.01631,0.57548,0.52861,0.0,0.08503,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.82349,0.01201,0.008,0.91582,0.0005,3.3752,0.8097,6.24661,0.5,1.28874,0.01521,0.56193,0.54933,0.0,0.08045,0.41333,0.0,0.0,0.0,0.49598,0.0,0.99464,0.0,0.0
0.82155,0.01149,0.00748,0.88634,0.00049,3.2763,0.87609,6.66353,0.45285,1.50629,0.01625,0.57548,0.5285,0.0,0.08841,0.44583,0.0,0.0,0.0,0.50429,0.0,1.0,0.0,0.0
0.82238,0.00685,0.0113,0.90525,0.00039,2.73182,0.84583,6.23369,0.52064,1.56947,0.0127,0.65455,0.33748,0.0,0.08485,0.45609,0.0,0.0,0.0,0.55255,0.0,1.0,0.0,0.0
0.82303,0.01201,0.00829,0.86943,0.00054,3.71092,0.71366,7.16136,0.60062,1.59715,0.01585,0.6421,0.50176,0.0,0.09989,0.44939,0.0,0.0,0.0,0.49598,0.0,1.0,0.0,0.0
0.82121,0.00824,0.00795,0.86943,0.00054,4.21648,0.71366,8.96269,0.61855,1.46574,0.01558,0.77968,0.50176,0.0,0.09989,0.44939,0.0,0.0,0.0,0.57459,0.0,0.94073,0.0,0.0
0.82143,0.00989,0.0113,0.91944,0.00037,3.03258,0.77511,7.36299,0.50543,1.5447,0.0137,0.76442,0.42586,0.0,0.10651,0.44622,0.0,0.0,0.0,0.47028,0.0,1.0,0.0,0.0
