                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9856,                 2.8572,                 2.4394,                0.87213,                0.71339,                0.80011,                0.47213,                 3.3229,                 2.7352,                 2.3706,              0.0033113,              0.0033113,              0.0033113
                      2,                 3.3118,                 1.7831,                 2.0903,                0.91425,                 0.7755,                0.87242,                0.55872,                 3.1912,                 1.8481,                 2.3009,              0.0066007,              0.0066007,              0.0066007
                      3,                 3.3008,                 1.6753,                 2.0595,                0.90266,                0.78567,                0.86871,                0.55988,                 3.1518,                 1.7235,                 2.2902,              0.0098462,              0.0098462,              0.0098462
                      4,                 3.1639,                 1.5429,                 2.0233,                0.91061,                0.80289,                0.88392,                0.57356,                 3.0693,                 1.6825,                 2.2766,               0.009802,               0.009802,               0.009802
                      5,                 2.9931,                  1.417,                 1.9894,                0.92224,                0.80746,                0.89328,                0.59391,                 2.9812,                 1.5995,                 2.2576,               0.009736,               0.009736,               0.009736
                      6,                 2.8676,                 1.3259,                 1.9468,                0.92288,                 0.8299,                0.90491,                0.61725,                 2.8773,                  1.495,                 2.1685,                0.00967,                0.00967,                0.00967
                      7,                 2.7591,                 1.2561,                 1.9192,                0.92248,                0.83854,                0.91042,                0.63099,                 2.9554,                 1.4821,                 2.2681,               0.009604,               0.009604,               0.009604
                      8,                 2.6745,                 1.2018,                  1.898,                 0.9268,                0.83781,                0.91077,                0.63441,                 2.8501,                  1.505,                 2.2139,               0.009538,               0.009538,               0.009538
                      9,                 2.6396,                 1.1824,                 1.8774,                 0.9318,                0.84447,                0.91825,                0.65207,                 2.7706,                  1.505,                 2.2153,               0.009472,               0.009472,               0.009472
                     10,                 2.5663,                 1.1458,                 1.8629,                0.94155,                0.84166,                0.92072,                0.66498,                 2.7235,                 1.5499,                 2.1419,               0.009406,               0.009406,               0.009406
                     11,                 2.4954,                 1.1065,                 1.8485,                 0.9315,                 0.8432,                0.91796,                0.66498,                 2.7276,                 1.4234,                 2.1972,                0.00934,                0.00934,                0.00934
                     12,                 2.4703,                 1.0938,                 1.8375,                0.94248,                 0.8531,                0.92905,                0.67653,                 2.7597,                 1.5064,                 2.2042,               0.009274,               0.009274,               0.009274
                     13,                 2.4188,                 1.0617,                 1.8294,                0.94359,                 0.8543,                0.92891,                 0.6775,                 2.7427,                 1.5598,                 2.1833,               0.009208,               0.009208,               0.009208
                     14,                 2.3904,                 1.0514,                 1.8205,                0.94522,                0.85983,                0.93262,                0.68473,                 2.6599,                 1.3703,                 2.1662,               0.009142,               0.009142,               0.009142
                     15,                 2.3364,                 1.1175,                 1.8153,                 0.9466,                0.85507,                0.92886,                0.67143,                 2.7374,                 1.5633,                 2.1567,               0.009076,               0.009076,               0.009076
                     16,                 2.3252,                 1.0149,                 1.7994,                0.94092,                0.85993,                0.93118,                0.69154,                 2.6874,                 1.4661,                  2.216,                0.00901,                0.00901,                0.00901
                     17,                 2.2642,                0.98942,                 1.7924,                0.94852,                0.86606,                 0.9359,                0.69031,                 2.6422,                 1.3796,                 2.1915,               0.008944,               0.008944,               0.008944
                     18,                 2.2506,                0.98419,                  1.789,                0.95247,                0.85826,                0.93578,                0.69782,                 2.6458,                 1.4647,                 2.1621,               0.008878,               0.008878,               0.008878
                     19,                 2.2161,                0.96536,                 1.7832,                0.94497,                0.86919,                0.93493,                0.69063,                 2.5973,                 1.3701,                 2.1686,               0.008812,               0.008812,               0.008812
                     20,                 2.1893,                0.95261,                 1.7759,                0.94632,                 0.8692,                  0.938,                0.69847,                 2.5873,                 1.3462,                 2.1574,               0.008746,               0.008746,               0.008746
                     21,                 2.1699,                0.94864,                 1.7704,                0.95285,                0.86755,                0.93862,                0.70056,                 2.6051,                 1.4451,                 2.1866,                0.00868,                0.00868,                0.00868
                     22,                 2.1707,                0.94132,                 1.7679,                0.95141,                0.86778,                0.94046,                0.70539,                 2.6291,                 1.3516,                 2.1865,               0.008614,               0.008614,               0.008614
                     23,                 2.1361,                 0.9237,                 1.7603,                0.95103,                0.87051,                0.94132,                0.71116,                 2.5455,                 1.4066,                 2.1361,               0.008548,               0.008548,               0.008548
                     24,                 2.1479,                 0.9283,                 1.7567,                0.95454,                0.87011,                0.94071,                0.70814,                 2.5631,                 1.4493,                 2.1452,               0.008482,               0.008482,               0.008482
                     25,                 2.0901,                0.90341,                 1.7509,                0.95104,                0.87618,                 0.9419,                   0.71,                 2.5255,                  1.261,                 2.1588,               0.008416,               0.008416,               0.008416
                     26,                  2.066,                0.89099,                 1.7489,                  0.951,                0.87634,                 0.9438,                0.71736,                 2.5448,                 1.4872,                 2.1481,                0.00835,                0.00835,                0.00835
                     27,                 2.0466,                0.88746,                 1.7514,                0.94853,                0.87725,                0.94123,                0.71032,                 2.5273,                 1.3476,                  2.103,               0.008284,               0.008284,               0.008284
                     28,                 2.0292,                0.87459,                 1.7392,                0.95399,                0.87746,                0.94391,                0.71725,                 2.5338,                 1.2788,                 2.1141,               0.008218,               0.008218,               0.008218
                     29,                 2.0284,                0.87189,                  1.738,                0.95171,                0.87298,                0.94246,                 0.7131,                 2.5678,                 1.3079,                  2.179,               0.008152,               0.008152,               0.008152
                     30,                 2.0081,                0.87439,                 1.7375,                0.95712,                0.87725,                0.94432,                0.71716,                 2.5133,                 1.3567,                  2.131,               0.008086,               0.008086,               0.008086
                     31,                 2.0152,                0.87032,                  1.738,                0.95125,                0.87713,                0.94304,                0.71867,                 2.5237,                 1.2943,                 2.1257,                0.00802,                0.00802,                0.00802
                     32,                 1.9973,                0.85951,                 1.7379,                0.95651,                0.87618,                0.94505,                0.71755,                 2.4819,                 1.2231,                 2.1101,               0.007954,               0.007954,               0.007954
                     33,                  1.986,                0.86018,                 1.7325,                0.95196,                0.87558,                0.94269,                0.71768,                 2.5299,                 1.3099,                 2.1105,               0.007888,               0.007888,               0.007888
                     34,                 1.9559,                 0.8514,                 1.7313,                0.95728,                0.87909,                0.94748,                0.72254,                 2.5176,                 1.2799,                 2.1147,               0.007822,               0.007822,               0.007822
                     35,                 1.9572,                0.84532,                 1.7313,                0.95829,                0.87462,                0.94604,                0.72607,                 2.4475,                 1.2254,                 2.0562,               0.007756,               0.007756,               0.007756
                     36,                 1.9239,                0.83667,                 1.7203,                0.95743,                0.88003,                0.94699,                0.72686,                 2.5026,                 1.3087,                 2.1671,                0.00769,                0.00769,                0.00769
                     37,                  1.913,                0.82425,                 1.7213,                0.95381,                0.87856,                0.94601,                0.72283,                 2.4658,                  1.266,                 2.0825,               0.007624,               0.007624,               0.007624
                     38,                 1.9219,                0.82812,                 1.7189,                0.95627,                0.88228,                0.94774,                0.72941,                 2.4543,                 1.3642,                 2.1149,               0.007558,               0.007558,               0.007558
                     39,                 1.8937,                0.81553,                 1.7175,                0.95685,                0.88336,                 0.9489,                0.72864,                 2.4732,                 1.2391,                 2.1211,               0.007492,               0.007492,               0.007492
                     40,                 1.8893,                0.81775,                 1.7221,                0.95454,                0.88064,                0.94699,                0.72872,                 2.5027,                 1.2364,                 2.1249,               0.007426,               0.007426,               0.007426
                     41,                 1.8712,                 0.8064,                 1.7135,                0.96081,                0.88352,                0.94928,                0.73115,                 2.4688,                 1.2638,                 2.1237,                0.00736,                0.00736,                0.00736
                     42,                 1.9002,                 0.8185,                 1.7155,                0.95678,                0.88534,                 0.9487,                0.72986,                 2.4548,                 1.2205,                 2.0706,               0.007294,               0.007294,               0.007294
